customer_id,session_id,product_id,product_category,unit_price,quantity,purchased
1803,0,894,6,651.57,1,0
7964,1,844,2,945.27,4,0
6890,2,865,0,400.44,4,0
4949,3,851,3,1268.54,2,1
4896,4,794,3,880.81,3,0
8726,5,481,3,458.42,2,0
1773,6,634,0,623.83,4,1
7275,7,225,6,1491.56,3,0
2813,8,628,2,791.88,2,0
1847,9,664,7,164.42,4,0
5737,10,386,4,318.62,4,0
9779,11,594,4,103.54,2,0
7621,12,379,6,373.33,4,0
7849,13,786,7,682.23,1,0
7456,14,175,2,837.89,2,0
8073,15,766,7,1151.07,2,0
5618,16,691,0,693.68,1,0
2152,17,250,1,481.83,4,0
8556,18,145,7,687.69,1,0
5053,19,525,3,806.73,3,0
5502,20,842,6,1374.55,4,0
4336,21,394,1,361.79,4,0
2642,22,237,7,557.98,1,0
9339,23,835,2,799.51,1,1
8033,24,567,3,853.62,2,0
6794,25,367,7,667.9,1,1
4621,26,376,0,927.81,2,0
8404,27,57,1,161.8,3,0
5908,28,750,6,1159.83,4,0
4990,29,440,7,1014.28,1,0
5053,30,722,1,511.8,4,0
3044,31,207,4,180.12,2,0
1829,32,72,4,437.0,4,1
5990,33,9,5,560.82,4,0
8990,34,551,1,789.99,1,1
1574,35,819,3,837.27,2,0
8723,36,657,3,855.27,2,0
8447,37,604,3,1140.72,3,0
3490,38,462,2,1434.14,3,0
6684,39,105,6,1937.8,4,0
2486,40,504,2,986.19,1,1
7822,41,341,3,450.96,4,0
7304,42,98,1,384.67,4,0
4190,43,250,5,464.23,4,1
1611,44,621,7,829.96,1,0
9735,45,733,0,344.48,3,0
5010,46,277,2,1113.7,1,1
9037,47,626,1,601.67,2,1
7100,48,895,6,420.59,2,0
8004,49,98,3,1472.25,1,0
7838,50,338,2,1963.8,4,0
2751,51,5,1,324.28,3,0
4274,52,149,1,182.24,4,0
5200,53,737,1,312.41,4,0
5479,54,735,6,1369.26,4,0
1394,55,838,6,488.23,2,0
5918,56,561,5,625.98,1,1
2388,57,864,1,162.17,2,0
7689,58,658,7,1003.8,4,0
7146,59,106,7,752.04,2,0
9301,60,418,3,1493.22,2,0
7702,61,351,3,702.87,2,0
4299,62,85,0,228.95,1,0
9706,63,109,0,509.21,4,0
4697,64,856,0,544.5,3,0
3932,65,839,7,1191.35,3,0
9148,66,878,5,1130.83,3,1
4333,67,406,5,311.68,2,1
1687,68,333,2,1622.05,4,0
5225,69,817,3,830.16,3,0
8160,70,169,4,377.62,1,1
2705,71,408,0,956.9,4,0
5166,72,678,4,453.27,2,0
2169,73,81,0,766.88,1,0
7177,74,239,4,494.63,4,1
5280,75,321,4,361.94,3,1
3971,76,887,5,1001.55,1,0
3041,77,873,7,205.08,3,0
6079,78,209,3,1148.23,1,0
7027,79,787,5,880.53,2,0
9461,80,550,1,240.22,2,0
4933,81,461,3,717.73,1,0
2446,82,185,2,1576.25,4,1
8493,83,295,5,467.97,3,0
6667,84,492,5,1155.56,2,0
7301,85,147,1,266.92,3,0
1874,86,421,0,194.94,2,0
3810,87,123,2,1894.89,2,0
7909,88,78,6,1392.83,4,1
8489,89,139,5,811.02,3,0
4916,90,679,7,267.27,3,0
8242,91,478,7,537.22,3,0
8574,92,741,0,713.73,4,0
4486,93,628,0,326.38,1,0
9081,94,41,5,1299.26,3,0
3594,95,266,2,1315.98,2,0
3155,96,306,0,712.19,1,0
7141,97,884,2,1872.33,4,0
6730,98,538,7,850.72,1,0
2257,99,419,1,412.72,1,0
8493,100,840,0,988.76,1,0
2798,101,535,2,1855.47,3,0
8243,102,659,5,1311.93,4,0
1066,103,481,5,845.68,4,0
8170,104,364,0,155.36,3,0
8081,105,693,3,884.9,1,1
8022,106,328,5,1156.58,3,0
6982,107,841,1,646.87,4,0
5243,108,299,0,605.61,2,0
7345,109,761,0,549.85,3,0
3493,110,66,5,1289.36,2,0
8025,111,462,6,317.14,2,1
6000,112,432,3,1490.71,3,0
5129,113,843,1,346.05,2,0
5549,114,335,4,445.17,3,0
6118,115,376,0,297.9,3,0
1335,116,55,3,1168.82,1,0
2258,117,66,0,342.89,2,1
3209,118,504,7,504.35,2,0
2030,119,119,5,415.02,1,1
4956,120,301,3,1499.58,1,1
7014,121,855,5,772.57,3,0
6889,122,261,7,217.59,1,0
5239,123,845,6,625.89,1,1
8694,124,376,6,652.85,4,0
6086,125,821,3,982.23,4,1
1712,126,314,2,832.56,4,0
7884,127,675,2,1910.48,1,0
6170,128,134,1,107.69,4,1
6711,129,610,2,981.34,4,0
6087,130,300,4,204.24,1,0
5981,131,753,5,237.08,1,0
1815,132,409,0,482.79,3,0
6032,133,400,4,119.85,3,0
8153,134,585,1,196.81,3,1
3735,135,492,1,157.38,1,1
6424,136,496,2,1594.29,3,0
1277,137,807,5,403.3,2,0
4127,138,666,2,1425.39,2,0
4930,139,51,6,1922.0,4,0
9843,140,857,1,189.57,4,0
2931,141,506,3,1207.13,4,1
3488,142,62,4,289.18,2,0
4676,143,342,7,356.93,4,0
9932,144,17,2,943.38,1,1
8679,145,499,4,55.65,3,0
1312,146,566,6,1103.54,3,1
3105,147,860,0,217.58,3,0
8394,148,608,4,273.63,1,0
1524,149,706,2,978.16,4,0
8700,150,726,4,285.21,3,0
3532,151,428,4,64.08,1,0
9257,152,351,6,652.34,1,0
3642,153,612,2,1401.02,3,0
4908,154,64,0,972.14,1,1
6956,155,506,3,1197.97,3,0
2136,156,155,5,1253.85,2,1
6012,157,177,6,1391.19,2,0
5544,158,789,1,295.93,2,1
8054,159,409,6,1712.12,3,1
9963,160,494,1,147.88,1,0
6978,161,99,3,761.37,3,0
4682,162,245,1,270.76,3,0
4657,163,410,6,1251.49,3,1
4761,164,814,7,197.03,3,0
8325,165,395,4,305.41,4,0
3890,166,566,4,394.1,3,0
2502,167,627,7,374.68,3,0
4008,168,178,1,458.63,3,0
1204,169,242,5,632.95,3,0
1955,170,476,1,489.49,3,0
1810,171,353,5,456.74,1,0
7943,172,732,6,825.76,4,1
7500,173,370,4,486.38,1,0
7270,174,403,4,455.57,1,0
5156,175,154,1,496.86,3,0
7452,176,631,1,646.61,3,0
2451,177,658,7,676.24,3,1
9104,178,415,6,1681.91,3,0
5508,179,601,2,1707.61,2,1
9441,180,874,3,480.06,2,0
2370,181,360,2,1134.82,3,0
5475,182,15,2,888.19,1,0
7266,183,142,3,520.42,3,0
5460,184,578,1,315.75,3,0
5014,185,707,5,783.46,1,0
2495,186,483,0,536.34,1,0
4428,187,622,4,269.37,4,0
3148,188,12,2,671.83,3,0
3713,189,597,3,502.22,3,0
7152,190,572,0,543.67,2,0
6671,191,850,7,1017.34,2,0
6464,192,353,6,889.74,2,0
4255,193,722,6,561.28,1,0
9636,194,218,4,191.56,1,0
1788,195,807,1,443.67,3,0
4082,196,496,5,1791.4,4,0
2061,197,683,0,188.4,4,0
4050,198,472,7,255.41,2,0
9656,199,670,0,298.03,1,0
4296,200,727,4,317.01,3,0
9176,201,681,5,213.92,4,1
5455,202,884,6,916.89,2,0
7296,203,849,7,976.56,4,0
5116,204,715,1,333.47,2,0
3392,205,471,3,593.22,4,0
7877,206,83,4,243.59,1,0
9721,207,369,3,1386.25,2,0
3371,208,545,0,354.8,3,0
8007,209,864,0,660.17,3,0
3349,210,284,3,479.14,4,0
7451,211,871,5,1783.44,2,0
8100,212,521,0,173.91,3,0
5043,213,784,2,1301.52,3,0
7631,214,637,7,350.27,4,0
3449,215,516,6,1499.31,1,1
1713,216,726,6,1086.95,1,0
